,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,Sampa,ipa
8150,4,sĕʹcŏndăry,,,,n.,37.0,192,secondary,s E k @ n d E r\ i:,sɛkəndɛɹiː
8151,2,ſeʹcret,L.,,,a.,40.0,192,secret,s i: k r\ @ t,siːkɹət
8152,4,sĕʹcrĕtăry,,,,n.,41.0,192,secretary,s E k r\ @ t E r\ i:,sɛkɹətɛɹiː
8153,2,ſecrēʹte,,,,v.,42.0,192,secrete,s i k r\ i: t,sikɹiːt
8154,4,ſecrēʹtion,,,,n.,43.0,192,secretion,s @ k r\ i: S @ n,səkɹiːʃən
8155,1,sĕct,,,,n.,44.0,192,sect,s E k t,sɛkt
8156,3,sĕʹction,L.,,,n.,46.0,192,section,s E k S @ n,sɛkʃən
8157,3,sēʹcŭlar,L.,,,a.,47.0,192,secular,s E k j @ l 3:r,sɛkjəlɜ:r
8158,2,ſecūʹre,,,,a.,50.0,192,secure,s i k j U r\,sikjʊɹ
8159,4,ſecūʹrĭty,,,,n.,51.0,192,security,s i k j U r\ @ 4 i:,sikjʊɹəɾiː
8160,2,ſedăʹn,,,,n.,52.0,192,sedan,s @ d { n,sədæn
8161,2,ſedāʹte,L.,,,a.,53.0,192,sedate,s i d eI t,sid?t
8162,4,sĕʹdĕntăry,L.,,,a.,55.0,192,sedentary,s E d @ n t E r\ i:,sɛdəntɛɹiː
8163,1,sĕdge,,,,n.,56.0,192,sedge,s E dZ,sɛ?
8164,3,sĕʹdĭment,L.,,,n.,58.0,192,sediment,s E 4 @ m @ n t,sɛɾəmənt
8165,4,ſedĭʹtion,L.,,,n.,59.0,192,sedition,s i d I S @ n,sidɪʃən
8166,4,ſedĭʹti_o_us,,,,a.,60.0,192,seditious,s i d I S @ s,sidɪʃəs
8167,2,ſedūʹce,,,,v.,61.0,192,seduce,s i d u s,sidus
8168,3,ſedūʹcer,,,,n.,62.0,192,seducer,s i d u s 3:r,sidusɜ:r
8169,4,ſedŭʹction,,,,n.,63.0,192,seduction,s i d V k S @ n,sidʌkʃən
8170,1,ſee,,,,v.,66.0,192,see,s i:,siː
8171,1,ſeed,,,,n.,67.0,192,seed,s i: d,siːd
8172,2,ſeeʹdlings,,,,n.,68.0,192,seedlings,s i: d l i N z,siːdliŋz
8173,2,ſeeʹdy,,,,a.,69.0,192,seedy,s i: 4 i:,siːɾiː
8174,2,ſeeʹing,,,,n.,70.0,192,seeing,s i: i N,siːiŋ
8175,1,ſeek,,,,v.,71.0,192,seek,s i: k,siːk
8176,1,ſeem,F.,,,v.,72.0,192,seem,s i: m,siːm
8177,1,ſeer,,,,n.,2.0,193,seer,s i: r\,siːɹ
8178,2,sĕʹgment,L.,,,n.,4.0,193,segment,s E g m @ n t,sɛgmənt
8179,3,sĕʹgrĕgāte,,,,v.,5.0,193,segregate,s E g r\ @ g eI t,sɛgɹəg?t
8180,3,ſelăʹnd_e_r,,,,n.,12.0,193,selander,s E l @ n d 3:r,sɛləndɜ:r
8181,2,sĕʹldom,,,,p.,13.0,193,seldom,s E l d @ m,sɛldəm
